Time, Altitude, Velocity, Temperature (F), Voltage
30.00, 1363, -16, 89.35, 4.15
30.05, 1363, -16, 89.35, 4.15
30.10, 1361, -16, 89.35, 4.15
30.15, 1360, -16, 89.35, 4.15
30.20, 1360, -16, 89.35, 4.15
30.25, 1360, -16, 89.35, 4.15
30.30, 1360, -16, 89.35, 4.15
30.35, 1359, -16, 89.35, 4.15
30.40, 1359, -16, 89.35, 4.15
30.45, 1358, -15, 89.35, 4.15
30.50, 1356, -15, 89.35, 4.15
30.55, 1355, -16, 89.35, 4.15
30.60, 1355, -16, 89.35, 4.15
30.65, 1354, -16, 89.35, 4.15
30.70, 1353, -16, 89.35, 4.15
30.75, 1352, -16, 89.35, 4.15
30.80, 1351, -16, 89.35, 4.15
30.85, 1351, -16, 89.35, 4.15
30.90, 1350, -16, 89.35, 4.15
30.95, 1349, -16, 89.35, 4.15
31.00, 1347, -16, 89.35, 4.15
31.05, 1347, -16, 89.35, 4.15
31.10, 1346, -16, 89.35, 4.15
31.15, 1347, -16, 89.35, 4.15
31.20, 1346, -17, 89.35, 4.15
31.25, 1345, -17, 89.35, 4.15
31.30, 1344, -17, 89.35, 4.15
31.35, 1342, -17, 89.35, 4.15
31.40, 1343, -17, 89.35, 4.15
31.45, 1342, -17, 89.35, 4.15
31.50, 1341, -17, 89.35, 4.15
31.55, 1339, -17, 89.35, 4.15
31.60, 1338, -17, 89.35, 4.15
31.65, 1336, -17, 89.35, 4.15
31.70, 1336, -17, 89.35, 4.15
31.75, 1335, -17, 89.35, 4.15
31.80, 1334, -17, 89.33, 4.15
31.85, 1333, -17, 89.35, 4.15
31.90, 1332, -17, 89.35, 4.15
31.95, 1331, -17, 89.35, 4.15
32.00, 1331, -17, 89.35, 4.15
32.05, 1330, -17, 89.35, 4.15
32.10, 1328, -17, 89.35, 4.15
32.15, 1328, -17, 89.33, 4.15
32.20, 1326, -17, 89.35, 4.15
32.25, 1327, -17, 89.35, 4.15
32.30, 1327, -17, 89.35, 4.15
32.35, 1325, -17, 89.33, 4.15
32.40, 1323, -17, 89.33, 4.15
32.45, 1322, -17, 89.35, 4.15
32.50, 1322, -17, 89.35, 4.15
32.55, 1321, -17, 89.35, 4.15
32.60, 1320, -17, 89.33, 4.15
32.65, 1320, -17, 89.35, 4.15
32.70, 1318, -16, 89.35, 4.15
32.75, 1317, -16, 89.35, 4.15
32.80, 1318, -16, 89.33, 4.15
32.85, 1317, -16, 89.35, 4.15
32.90, 1317, -16, 89.33, 4.15
32.95, 1315, -16, 89.35, 4.15
33.00, 1314, -16, 89.35, 4.15
33.05, 1313, -16, 89.33, 4.15
